iter	RMSE
0	175287.6377
1	172721.3221
2	170295.0412
3	168127.361
4	165515.9789
5	163008.8041
6	161168.3983
7	159144.6812
8	157275.6029
9	155568.0228
10	154051.6283
11	152433.9261
12	150953.1509
13	149568.5253
14	148125.9145
15	146775.7116
16	145446.4599
17	144261.9949
18	142541.109
19	141214.26
20	139978.039
21	138564.0763
22	137259.5562
23	136070.108
24	135150.6836
25	134267.713
26	133317.0459
27	132436.4229
28	131293.9009
29	130310.8421
30	129483.2916
31	128535.2878
32	127736.1924
33	127094.6273
34	126262.5081
35	125509.7687
36	124737.514
37	124058.1662
38	123526.7366
39	122934.4447
40	122368.6743
41	121878.0182
42	121205.6543
43	120698.3642
44	120134.9878
45	119655.9898
46	119125.4724
47	118658.6285
48	118070.4787
49	117581.0651
50	117158.2408
51	116719.0201
52	116263.5252
53	115899.2766
54	115394.7824
55	114787.2262
56	114411.2376
57	114025.0741
58	113567.6605
59	113167.1415
60	112808.9036
61	112432.6126
62	112074.8126
63	111835.9841
64	111506.3423
65	111051.8347
66	110713.3804
67	110428.9182
68	109924.9923
69	109568.9988
70	109263.9644
71	108973.3828
72	108693.5507
73	108304.2502
74	108014.0462
75	107805.0649
76	107444.186
77	107118.6708
78	106856.7265
79	106547.7115
80	106185.8548
81	105883.3257
82	105572.0956
83	105284.3271
84	104960.2781
85	104602.5785
86	104251.8717
87	104048.8098
88	103725.319
89	103612.0309
90	103332.3897
91	103035.7162
92	102847.161
93	102634.7094
94	102426.6411
95	102236.2261
96	102039.8819
97	101788.3352
98	101478.3742
99	101230.043
100	100996.6601
101	100797.6527
102	100610.1822
103	100397.0906
104	100230.2412
105	100074.499
106	99887.90769
107	99686.25069
108	99483.95109
109	99334.32383
110	99074.55364
111	98790.91069
112	98635.65596
113	98478.54258
114	98325.43977
115	98134.31323
116	97962.10945
117	97753.87007
118	97621.36647
119	97455.16001
120	97311.15428
121	97143.81447
122	96968.09444
123	96756.34894
124	96552.68084
125	96392.37847
126	96230.47738
127	96072.78509
128	95930.05846
129	95771.69628
130	95578.64089
131	95425.30207
132	95289.75053
133	95132.14825
134	94922.52422
135	94814.30706
136	94657.02102
137	94500.70558
138	94378.13714
139	94220.58463
140	94116.2897
141	93973.12784
142	93808.85055
143	93663.4609
144	93528.70884
145	93354.2116
146	93228.34971
147	93065.21392
148	92949.78781
149	92806.32405
150	92655.96275
151	92522.20491
152	92295.56976
153	92186.80845
154	92033.50298
155	91928.33982
156	91802.65613
157	91679.04968
158	91513.76469
159	91332.60292
160	91224.65872
161	91082.43411
162	90926.91679
163	90763.90855
164	90641.22066
165	90460.01775
166	90337.62878
167	90219.59936
168	90093.28875
169	89936.48025
170	89801.38746
171	89645.16212
172	89441.18872
173	89341.34363
174	89212.61636
175	89103.37124
176	88976.89942
177	88873.02749
178	88741.82725
179	88613.92863
180	88502.42682
181	88389.33787
182	88223.97982
183	88110.92634
184	87957.05985
185	87820.20334
186	87712.19712
187	87589.77794
188	87488.66197
189	87366.93296
190	87265.43753
191	87144.41975
192	87008.39625
193	86892.72087
194	86738.90102
195	86597.65575
196	86480.55599
197	86366.30717
198	86239.03777
199	86091.75582
200	85987.41265
201	85881.75809
202	85776.64789
203	85658.58115
204	85529.81447
205	85421.95219
206	85320.36219
207	85217.73001
208	85087.72251
209	84982.69837
210	84872.03362
211	84727.44943
212	84643.43742
213	84564.22972
214	84472.08534
215	84352.93487
216	84239.11825
217	84157.99778
218	84053.74965
219	83924.22855
220	83809.76582
221	83708.23137
222	83601.82588
223	83519.57812
224	83436.79598
225	83307.47657
226	83228.4002
227	83151.90619
228	83046.18498
229	82891.18531
230	82813.27303
