iter	Passed	Remaining
0	24	24197
1	31	15555
2	37	12530
3	44	10988
4	52	10519
5	59	9929
6	67	9545
7	72	8978
8	76	8442
9	81	8103
10	86	7771
11	89	7369
12	92	7060
13	98	6960
14	103	6787
15	106	6573
16	110	6379
17	115	6297
18	119	6165
19	122	6023
20	128	5977
21	133	5923
22	136	5810
23	140	5713
24	144	5648
25	149	5599
26	152	5506
27	156	5437
28	161	5405
29	165	5349
30	169	5295
31	173	5236
32	178	5226
33	182	5173
34	185	5118
35	189	5066
36	194	5073
37	198	5036
38	202	4987
39	206	4952
40	211	4949
41	215	4910
42	218	4871
43	223	4858
44	228	4847
45	231	4808
46	235	4767
47	239	4755
48	244	4749
49	248	4714
50	251	4681
51	257	4688
52	261	4665
53	264	4636
54	268	4608
55	273	4617
56	277	4595
57	281	4565
58	284	4537
59	291	4563
60	294	4537
61	298	4511
62	304	4522
63	308	4508
64	312	4491
65	315	4468
66	321	4471
67	325	4454
68	328	4433
69	331	4409
70	338	4427
71	341	4407
72	345	4384
73	349	4377
74	354	4377
75	358	4358
76	362	4339
77	368	4352
78	372	4338
79	375	4323
80	380	4314
81	385	4310
82	388	4289
83	391	4271
84	395	4253
85	401	4264
86	404	4247
87	408	4234
88	412	4227
89	417	4220
90	421	4206
91	424	4189
92	429	4186
93	433	4181
94	437	4167
95	440	4150
96	446	4153
97	450	4146
98	453	4131
99	457	4116
100	462	4117
101	466	4108
102	470	4093
103	473	4078
104	477	4073
105	481	4060
106	485	4048
107	488	4035
108	494	4038
109	497	4028
110	501	4015
111	505	4004
112	510	4008
113	514	3997
114	517	3986
115	521	3976
116	527	3977
117	530	3966
118	533	3952
119	538	3947
120	543	3946
121	546	3933
122	549	3919
123	554	3917
124	559	3915
125	562	3903
126	566	3891
127	572	3898
128	576	3893
129	579	3880
130	583	3868
131	587	3865
132	591	3855
133	594	3843
134	598	3832
135	604	3837
136	608	3831
137	611	3821
138	615	3810
139	620	3812
140	623	3801
141	627	3788
142	630	3776
143	635	3776
144	639	3771
145	642	3761
146	646	3751
147	652	3757
148	656	3748
149	659	3739
150	665	3741
151	670	3738
152	673	3729
153	677	3722
154	683	3725
155	687	3717
156	691	3713
157	696	3710
158	700	3707
159	704	3698
160	708	3690
161	713	3688
162	717	3684
163	721	3675
164	724	3666
165	729	3663
166	733	3659
167	737	3650
168	740	3642
169	746	3643
170	749	3634
171	752	3624
172	756	3615
173	760	3612
174	765	3608
175	769	3600
176	772	3593
177	778	3594
178	782	3587
179	785	3579
180	789	3570
181	795	3573
182	798	3566
183	802	3557
184	806	3554
185	811	3551
186	815	3545
187	819	3538
188	824	3536
189	828	3530
190	831	3521
191	834	3512
192	840	3513
193	844	3509
194	848	3501
195	851	3494
196	857	3494
197	860	3486
198	864	3478
199	867	3471
200	872	3469
201	876	3462
202	879	3453
203	882	3444
204	888	3445
205	892	3438
206	895	3429
207	898	3420
208	903	3420
209	907	3414
210	911	3407
211	914	3399
212	919	3397
213	923	3390
214	926	3383
215	930	3378
216	936	3377
217	939	3371
218	943	3364
219	946	3357
220	952	3357
221	955	3349
222	958	3341
223	962	3333
224	967	3331
225	971	3325
226	974	3318
227	977	3310
228	984	3312
229	987	3306
230	991	3299
231	994	3293
232	999	3289
233	1002	3282
234	1005	3274
235	1009	3268
236	1014	3265
237	1018	3260
238	1022	3254
239	1025	3247
240	1030	3245
241	1034	3239
242	1037	3232
243	1041	3226
244	1047	3227
245	1050	3221
246	1054	3215
247	1059	3213
248	1064	3210
249	1068	3204
250	1072	3199
251	1077	3197
252	1081	3191
253	1085	3186
254	1089	3183
255	1094	3181
256	1099	3177
257	1103	3173
258	1108	3172
259	1113	3168
260	1116	3162
261	1120	3155
262	1125	3153
263	1128	3147
264	1132	3141
265	1138	3140
266	1142	3136
267	1146	3130
268	1150	3125
269	1156	3125
270	1159	3120
271	1163	3114
272	1166	3107
273	1173	3108
274	1176	3102
275	1180	3095
276	1184	3091
277	1189	3088
278	1192	3082
279	1196	3076
280	1201	3073
281	1205	3069
282	1209	3064
283	1213	3058
284	1217	3055
285	1221	3049
286	1224	3043
287	1228	3037
288	1234	3036
289	1238	3030
290	1241	3025
291	1245	3019
292	1250	3017
293	1254	3012
294	1257	3005
295	1261	2999
296	1266	2997
297	1270	2991
298	1273	2985
299	1276	2979
300	1282	2978
301	1286	2973
302	1289	2966
303	1292	2959
304	1298	2959
305	1302	2953
306	1305	2947
307	1309	2941
308	1315	2941
309	1319	2936
310	1322	2930
311	1327	2927
312	1331	2921
313	1334	2916
314	1338	2910
315	1343	2908
316	1347	2903
317	1351	2898
318	1354	2892
319	1361	2892
320	1364	2886
321	1367	2880
322	1371	2874
323	1377	2874
324	1381	2868
325	1384	2862
326	1387	2856
327	1393	2855
328	1397	2849
329	1400	2844
330	1405	2840
331	1410	2837
332	1413	2832
333	1417	2826
334	1422	2823
335	1426	2819
336	1429	2812
337	1433	2807
338	1439	2805
339	1442	2800
340	1446	2795
341	1450	2789
342	1455	2788
343	1459	2783
344	1462	2776
345	1466	2771
346	1471	2769
347	1475	2763
348	1478	2758
349	1482	2752
350	1488	2752
351	1492	2746
352	1495	2741
353	1500	2738
354	1505	2735
355	1508	2729
356	1511	2723
357	1516	2718
358	1521	2716
359	1524	2710
360	1528	2705
361	1533	2702
362	1537	2698
363	1541	2693
364	1545	2688
365	1550	2685
366	1554	2680
367	1557	2674
368	1560	2669
369	1566	2667
370	1570	2662
371	1573	2656
372	1577	2652
373	1583	2650
374	1586	2644
375	1590	2638
376	1595	2635
377	1599	2631
378	1603	2626
379	1606	2621
380	1613	2621
381	1617	2616
382	1620	2611
383	1624	2605
384	1629	2603
385	1633	2597
386	1636	2592
387	1639	2586
388	1645	2584
389	1648	2578
390	1652	2573
391	1657	2570
392	1662	2567
393	1666	2562
394	1670	2558
395	1676	2556
396	1680	2552
397	1683	2546
398	1688	2542
399	1693	2539
400	1696	2534
401	1700	2528
402	1705	2525
403	1709	2522
404	1713	2517
405	1717	2512
406	1722	2510
407	1726	2505
408	1730	2500
409	1733	2494
410	1739	2492
411	1743	2487
412	1746	2482
413	1750	2477
414	1756	2475
415	1760	2470
416	1763	2465
417	1769	2464
418	1774	2460
419	1778	2456
420	1782	2452
421	1787	2448
422	1791	2443
423	1794	2438
424	1800	2435
425	1804	2431
426	1808	2426
427	1811	2421
428	1817	2418
429	1821	2414
430	1825	2409
431	1828	2404
432	1834	2401
433	1838	2397
434	1841	2391
435	1844	2386
436	1851	2384
437	1854	2379
438	1858	2374
439	1862	2370
440	1867	2366
441	1870	2361
442	1873	2355
443	1879	2353
444	1883	2348
445	1886	2343
446	1890	2338
447	1895	2335
448	1899	2330
449	1902	2325
450	1906	2320
451	1911	2317
452	1915	2313
453	1919	2308
454	1923	2303
455	1929	2301
456	1932	2296
457	1936	2291
458	1941	2288
459	1946	2284
460	1949	2279
461	1953	2274
462	1958	2271
463	1962	2266
464	1965	2261
465	1969	2257
466	1975	2254
467	1978	2249
468	1982	2244
469	1985	2239
470	1990	2235
471	1994	2231
472	1998	2226
473	2001	2221
474	2006	2217
475	2010	2212
476	2013	2208
477	2017	2203
478	2022	2200
479	2026	2195
480	2030	2190
481	2033	2185
482	2038	2181
483	2042	2177
484	2045	2172
485	2049	2167
486	2054	2164
487	2058	2159
488	2061	2154
489	2065	2149
490	2070	2146
491	2074	2141
492	2078	2137
493	2081	2131
494	2086	2128
495	2089	2123
496	2093	2118
497	2096	2113
498	2103	2111
499	2106	2106
500	2109	2101
501	2112	2095
502	2117	2092
503	2121	2087
504	2124	2082
505	2128	2077
506	2133	2074
507	2136	2069
508	2140	2064
509	2143	2059
510	2150	2057
511	2154	2053
512	2157	2048
513	2162	2044
514	2166	2040
515	2169	2035
516	2173	2030
517	2178	2026
518	2182	2022
519	2186	2017
520	2189	2012
521	2194	2009
522	2199	2006
523	2203	2001
524	2207	1997
525	2213	1994
526	2217	1990
527	2221	1985
528	2225	1981
529	2230	1977
530	2233	1972
531	2236	1967
532	2241	1964
533	2246	1960
534	2249	1955
535	2252	1950
536	2257	1946
537	2262	1942
538	2266	1938
539	2269	1933
540	2275	1930
541	2279	1926
542	2283	1921
543	2286	1916
544	2292	1913
545	2296	1909
546	2299	1904
547	2305	1901
548	2309	1897
549	2312	1892
550	2316	1887
551	2321	1884
552	2325	1879
553	2329	1875
554	2333	1870
555	2338	1867
556	2342	1862
557	2345	1857
558	2348	1852
559	2354	1850
560	2358	1845
561	2361	1840
562	2365	1835
563	2371	1833
564	2374	1828
565	2378	1823
566	2381	1818
567	2387	1816
568	2391	1811
569	2394	1806
570	2399	1802
571	2404	1798
572	2407	1794
573	2411	1789
574	2417	1786
575	2421	1782
576	2424	1777
